,KR,EN,JP,CH
levelup,"""[rainbow]레벨업![/rainbow]\n\n강화 포인트 +1\n""","""[rainbow]Level UP![/rainbow]\n\nUP+1\n""","""[rainbow]レベルアップ！[/rainbow]\n\nUP+1\n""","""[rainbow]升级！[/rainbow]\n\nUP+1\n"""
levelup_refresh,"""아이템 칸 +1\n새로고침 +1""","""Item slot +1\nRefresh +1""","""アイテム欄+1\nリフレッシュ+1""","""物品插槽 +1\n刷新 +1"""
not_enough_space,"""아이템을 넣을 공간이 부족합니다!\n보유중인 아이템을 버리거나 보상을 스킵하세요.""","""There is not enough space for an item!\nPlease throw away an item or skip the reward…""","""アイテムを入れるスペースが不足しています！\n保有中のアイテムを捨てるか、報酬をスキップしてください。""","""没有足够的空间放置物品！请扔掉一件物品或跳过奖励......"""
throw_away_item,"""정말로 이 아이템을 버리시겠습니까?""","""Wanna throw away this item?""","""本当にこのアイテムを捨てますか？""","""想扔掉这个东西吗？"""
yes,"""네""","""Yes""","""はい""","""是"""
no,"""아니요""","""No""","""いいえ""","""不"""
exp_state,"""[#00ff00]경험치[/color] __exp__ / __exp_max__""","""[#00ff00]EXP[/color] __exp__ / __exp_max__""","""[#00ff00]経験値[/color] __exp__ / __exp_max__""","""[#00ff00]EXP[/color] __exp__ / __exp_max__"""
hp,"""[#00ff00]체력[/color]""","""[#00ff00]HP[/color]""","""[#00ff00]体力[/color]""","""[#00ff00]HP[/color]"""
item_type_duplicated,"""이 아이템을 사용하려면 'item_name'을(를) 먼저 버려야합니다.""","""To use this item, item_name must be discarded first.""","""このアイテムを使用するには、'item_name'を先に捨てなければなりません。""","""要使用此物品，必须先丢弃 item_name""。"
ap,"""[#ff6b00]공격력[/color]""","""[#ff6b00]AP[/color]""","""[#ff6b00]攻撃力[/color]""","""[#ff6b00]AP[/color]"""
sp,"""[#ff4c97]주문력[/color]""","""[#ff4c97]SP[/color]""","""[#ff4c97]呪力[/color]""","""[#ff4c97]SP[/color]"""
up,"""[rainbow]강화 포인트[/rainbow]""","""[rainbow]UP[/rainbow]""",[rainbow]UP[/rainbow],[rainbow]UP[/rainbow]
ap_info,"""[#ff6b00]기본공격시[/color] 적용되는 대미지입니다.""",“[#ff6b00]Attack Power[/color]\nThe damage applied during [#ff6b00]basic attacks[/color].”,"""[#ff6b00]基本攻撃時[/color]適用されるダメージです。""","""[#ff6b00]攻击力[/color]（[#ff6b00]基本攻击时造成的伤害[/color]）""。"
sp_info,"""일부 [#ff4c97]특수 공격[/color]시에 적용되는 대미지입니다.""",“[#ff4c97]Spell Power[/color]\nThe damage applied during some [#ff4c97]special attacks[/color].”,"""一部の[#ff4c97]特殊攻撃[/color]時に適用されるダメージです。""","""[#ff4c97]法术威力[/color]（在某些[#ff4c97]特殊攻击[/color]时施加的伤害）""。"
up_info,"""[rainbow]이 포인트로 아이템을 강화할 수 있습니다![/rainbow]""","""[rainbow]Upgrade Point[/rainbow]\nYou can upgrade items with this!""","[rainbow]アップグレードポイント[/rainbow]アイテムをアップグレードできます！ "" ",[彩虹]升级点[/彩虹]（你可以用这个升级物品）！ 
refresh,"""새로고침""","""Refresh""","""リフレッシュ""","""刷新"""
left,"""num 남음""","""num left""","""num 残り""","""还剩 num 个"""
